"timestamp","heartrate"
1477508785000,76
1477508790000,77
1477508805000,78
1477508810000,76
1477508815000,80
1477508820000,81
1477508825000,80
1477508830000,79
1477508835000,77
1477508840000,80
1477508845000,81
1477508850000,82
1477508855000,80
1477508860000,81
1477508870000,85
1477508880000,86
1477508895000,85
1477508905000,84
1477508910000,82
1477508925000,81
1477508930000,80
1477508935000,78
1477508940000,76
1477508945000,75
1477508950000,78
1477508960000,73
1477508970000,67
1477508980000,66
1477508990000,67
1477509000000,64
1477509010000,65
1477509015000,68
1477509020000,69
1477509030000,66
1477509040000,67
1477509055000,67
1477509065000,69
1477509070000,71
1477509085000,71
1477509100000,76
1477509115000,76
1477509125000,75
1477509130000,74
1477509145000,74
1477509150000,73
1477509165000,73
1477509180000,72
1477509195000,73
1477509200000,74
1477509205000,75
1477509210000,76
1477509215000,79
1477509220000,81
1477509225000,82
1477509230000,84
1477509240000,79
1477509255000,81
1477509260000,80
1477509270000,79
1477509275000,77
1477509280000,82
1477509285000,88
1477509290000,93
1477509295000,94
1477509300000,96
1477509305000,98
1477509310000,101
1477509315000,104
1477509320000,109
1477509325000,115
1477509330000,118
1477509335000,114
1477509340000,110
1477509345000,104
1477509350000,105
1477509360000,109
1477509365000,113
1477509370000,118
1477509375000,114
1477509380000,108
1477509385000,107
1477509390000,102
1477509395000,94
1477509400000,95
1477509405000,92
1477509410000,87
1477509415000,88
1477509420000,89
1477509425000,91
1477509430000,92
1477509435000,93
1477509440000,92
1477509445000,91
1477509450000,95
1477509460000,91
1477509465000,92
1477509470000,93
1477509475000,92
1477509480000,94
1477509485000,92
1477509490000,87
1477509495000,86
1477509500000,85
1477509505000,85
1477509510000,83
1477509515000,84
1477509520000,85
1477509530000,86
1477509535000,86
1477509540000,87
1477509545000,88
1477509550000,85
1477509560000,86
1477509565000,87
1477509570000,84
1477509575000,81
1477509580000,79
1477509585000,82
1477509595000,84
1477509600000,81
1477509610000,83
1477509615000,84
1477509625000,85
1477509630000,83
1477509640000,81
1477509655000,82
1477509660000,83
1477509665000,81
1477509670000,81
1477509675000,77
1477509680000,75
1477509685000,77
1477509690000,79
1477509695000,80
1477509700000,80
1477509710000,81
1477509725000,83
1477509730000,83
1477509735000,82
1477509745000,83
1477509750000,82
1477509755000,79
1477509760000,75
1477509765000,74
1477509775000,78
1477509780000,78
1477509785000,79
1477509790000,78
1477509795000,73
1477509800000,72
1477509805000,73
1477509810000,74
1477509815000,76
1477509820000,77
1477509825000,78
1477509830000,77
1477509835000,74
1477509840000,70
1477509845000,72
1477509850000,71
1477509855000,71
1477509860000,72
1477509875000,72
1477509880000,72
1477509885000,70
1477509895000,69
1477509900000,67
1477509915000,65
1477509930000,65
1477509935000,65
1477509940000,63
1477509945000,61
1477509950000,59
1477509955000,57
1477509960000,60
1477509965000,61
1477509970000,63
1477509975000,64
1477509980000,65
1477509985000,68
1477509990000,70
1477509995000,72
1477510000000,73
1477510015000,72
1477510020000,71
1477510030000,72
1477510035000,71
1477510040000,74
1477510050000,74
1477510055000,74
1477510060000,73
1477510070000,72
1477510080000,73
1477510085000,74
1477510090000,75
1477510100000,72
1477510105000,75
1477510110000,79
1477510115000,81
1477510120000,84
1477510130000,83
1477510135000,82
1477510140000,84
1477510145000,80
1477510150000,79
1477510155000,78
1477510160000,79
1477510175000,81
1477510180000,82
1477510190000,85
1477510195000,88
1477510200000,87
1477510205000,90
1477510210000,93
1477510215000,94
1477510220000,96
1477510225000,98
1477510230000,97
1477510235000,93
1477510240000,95
1477510245000,97
1477510255000,94
1477510260000,93
1477510270000,94
1477510275000,95
1477510280000,94
1477510285000,93
1477510290000,92
1477510295000,91
1477510300000,90
1477510305000,88
1477510310000,85
1477510315000,82
1477510320000,87
1477510330000,84
1477510335000,83
1477510340000,82
1477510350000,81
1477510355000,79
1477510360000,78
1477510365000,78
1477510370000,80
1477510380000,79
1477510395000,79
1477510400000,78
1477510405000,79
1477510410000,82
1477510425000,82
1477510440000,81
1477510445000,80
1477510455000,75
1477510460000,76
1477510465000,81
1477510470000,80
1477510485000,81
1477510490000,80
1477510500000,79
1477510505000,81
1477510510000,83
1477510515000,81
1477510520000,80
1477510525000,77
1477510540000,76
1477510550000,78
1477510555000,77
1477510560000,74
1477510565000,73
1477510580000,73
1477510585000,71
1477510590000,74
1477510595000,79
1477510600000,77
1477510605000,75
1477510615000,76
1477510630000,76
1477510645000,76
1477510650000,77
1477510660000,85
1477510665000,83
1477510670000,81
1477510680000,78
1477510685000,77
1477510690000,77
1477510700000,80
1477510705000,79
1477510720000,79
1477510725000,80
1477510730000,79
1477510740000,77
1477510745000,78
1477510750000,77
1477510755000,77
1477510765000,78
1477510770000,79
1477510780000,78
1477510790000,76
1477510795000,75
1477510800000,74
1477510805000,76
1477510810000,77
1477510815000,76
1477510820000,75
1477510830000,78
1477510845000,78
1477510850000,79
1477510855000,78
1477510870000,77
1477510875000,76
1477510880000,77
1477510890000,79
1477510905000,79
1477510910000,84
1477510920000,86
1477510925000,84
1477510930000,83
1477510945000,82
1477510950000,81
1477510955000,80
1477510960000,80
1477510975000,81
1477510985000,82
1477511000000,82
1477511015000,82
1477511030000,82
1477511045000,82
1477511050000,83
1477511055000,83
1477511060000,82
1477511065000,81
1477511075000,80
1477511090000,77
1477511095000,77
1477511100000,79
1477511105000,81
1477511110000,82
1477511115000,83
1477511125000,82
1477511135000,80
1477511145000,79
1477511150000,78
1477511165000,77
1477511180000,74
1477511185000,72
1477511190000,71
1477511195000,70
1477511200000,70
1477511205000,71
1477511210000,72
1477511225000,72
1477511240000,72
1477511245000,73
1477511255000,72
1477511260000,75
1477511265000,76
1477511280000,76
1477511290000,77
1477511305000,77
1477511310000,78
1477511315000,79
1477511320000,81
1477511335000,81
1477511340000,82
1477511355000,81
1477511365000,80
1477511370000,81
1477511375000,66
1477511380000,66
1477511385000,65
1477511390000,64
1477511405000,63
1477511410000,64
1477511415000,64
1477511430000,64
1477511435000,61
1477511450000,61
1477511460000,62
1477511475000,62
1477511480000,63
1477511490000,66
1477511500000,67
1477511515000,67
1477511520000,64
1477511530000,67
1477511540000,71
1477511550000,76
1477511560000,72
1477511570000,71
1477511580000,68
1477511595000,68
1477511605000,70
1477511610000,71
1477511615000,67
1477511620000,64
1477511625000,63
1477511630000,64
1477511640000,64
1477511645000,64
1477511660000,60
1477511665000,58
1477511675000,59
1477511680000,58
1477511685000,57
1477511700000,62
1477511705000,64
1477511710000,64
1477511725000,64
1477511730000,69
1477511740000,67
1477511750000,66
1477511760000,63
1477511765000,62
1477511780000,62
1477511790000,67
1477511800000,66
1477511810000,66
1477511820000,61
1477511830000,63
1477511840000,62
1477511855000,63
